UniProt_ID,Protein,Gene,OMIM_ID
Q93008,USP9X_HUMAN,USP9X,300919
Q08AM6,VAC14_HUMAN,VAC14,617054
P15313,VATB1_HUMAN,ATP6V1B1,267300
P11473,VDR_HUMAN,VDR,277440
Q15643,TRIPB_HUMAN,TRIP11,200600
O75762,TRPA1_HUMAN,TRPA1,615040
O00507,USP9Y_HUMAN,USP9Y,415000
Q05086,UBE3A_HUMAN,UBE3A,105830
P00749,UROK_HUMAN,PLAU,601709
O75445,USH2A_HUMAN,USH2A,276901
P36543,VATE1_HUMAN,ATP6V1E1,617402
Q05940,VMAT2_HUMAN,SLC18A2,618049
Q709C8,VP13C_HUMAN,VPS13C,616840
Q96QK1,VPS35_HUMAN,VPS35,614203
P07951,TPM2_HUMAN,TPM2,108120
Q2YD98,UVSSA_HUMAN,UVSSA,614640
Q8NDX2,VGLU3_HUMAN,SLC17A8,605583
P18206,VINC_HUMAN,VCL,611407
P98155,VLDLR_HUMAN,VLDLR,224050
O95292,VAPB_HUMAN,VAPB,182980
P35916,VGFR3_HUMAN,FLT4,153100
P40818,UBP8_HUMAN,USP8,219090
Q9UHD9,UBQL2_HUMAN,UBQLN2,300857
Q8IWV7,UBR1_HUMAN,UBR1,243800
P46937,YAP1_HUMAN,YAP1,120433
P13051,UNG_HUMAN,UNG,608106
P07911,UROM_HUMAN,UMOD,162000
Q495M9,USH1G_HUMAN,USH1G,276900
Q9NRW7,VPS45_HUMAN,VPS45,615285
Q32P41,TRM5_HUMAN,TRMT5,616539
Q9GZZ9,UBA5_HUMAN,UBA5,617132
Q9H1C4,UN93B_HUMAN,UNC93B1,610551
P40337,VHL_HUMAN,VHL,144700
P08670,VIME_HUMAN,VIM,116300
Q7Z7G8,VP13B_HUMAN,VPS13B,216550
Q3MJ13,WDR72_HUMAN,WDR72,613211
Q8IZQ1,WDFY3_HUMAN,WDFY3,617520
Q8IWX7,UN45B_HUMAN,UNC45B,616279
Q9Y6N9,USH1C_HUMAN,USH1C,276900
Q9NPD8,UBE2T_HUMAN,UBE2T,616435
Q7Z3V4,UBE3B_HUMAN,UBE3B,244450
A6NNY8,UBP27_HUMAN,USP27X,300984
Q9NUQ7,UFSP2_HUMAN,UFSP2,142669
Q7Z4L5,TT21B_HUMAN,TTC21B,613819
Q6UW78,UQCC3_HUMAN,UQCC3,616111
