UniProt_ID,Protein,Gene,OMIM_ID
Q96P56,CTSR2_HUMAN,CATSPER2,611102
Q6UX04,CWC27_HUMAN,CWC27,250410
Q96DT5,DYH11_HUMAN,DNAH11,611884
Q9P2D7,DYH1_HUMAN,DNAH1,617576
P48165,CXA8_HUMAN,GJA8,116200
Q8TE73,DYH5_HUMAN,DNAH5,608644
Q8WWZ3,EDAD_HUMAN,EDARADD,614940
P04080,CYTB_HUMAN,CSTB,254800
P00414,COX3_HUMAN,MT-CO3,220110
Q7Z449,CP2U1_HUMAN,CYP2U1,615030
Q9UI47,CTNA3_HUMAN,CTNNA3,615616
Q8NEC5,CTSR1_HUMAN,CATSPER1,612997
O60494,CUBN_HUMAN,CUBN,261100
Q14999,CUL7_HUMAN,CUL7,273750
Q13620,CUL4B_HUMAN,CUL4B,300354
P36382,CXA5_HUMAN,GJA5,108770
P08034,CXB1_HUMAN,GJB1,145900
P29033,CXB2_HUMAN,GJB2,124500
P50570,DYN2_HUMAN,DNM2,160150
P49711,CTCF_HUMAN,CTCF,615502
Q9Y5B0,CTDP1_HUMAN,CTDP1,604168
P43004,EAA2_HUMAN,SLC1A2,617105
P43005,EAA3_HUMAN,SLC1A1,222730
Q69YQ0,CYTSA_HUMAN,SPECC1L,145410
O75553,DAB1_HUMAN,DAB1,615945
O60308,CE104_HUMAN,CEP104,616781
O15078,CE290_HUMAN,CEP290,610188
O60610,DIAP1_HUMAN,DIAPH1,124900
Q8TBY9,CF251_HUMAN,WDR66,618152
P57076,CF298_HUMAN,CFAP298,615500
P11597,CETP_HUMAN,CETP,143470
Q16678,CP1B1_HUMAN,CYP1B1,137750
Q6NUT2,D19L2_HUMAN,DPY19L2,613958
Q8N9W5,DAAF3_HUMAN,DNAAF3,606763
Q8WXU2,DAAF4_HUMAN,DNAAF4,127700
P08174,DAF_HUMAN,CD55,226300
P36405,ARL3_HUMAN,ARL3,618161
Q9NR48,ASH1L_HUMAN,ASH1L,617796
O75838,CIB2_HUMAN,CIB2,609439
Q12797,ASPH_HUMAN,ASPH,601552
O75339,CILP1_HUMAN,CILP,603932
Q96SN8,CK5P2_HUMAN,CDK5RAP2,604804
O60312,AT10A_HUMAN,ATP10A,105830
Q9C0F0,ASXL3_HUMAN,ASXL3,615485
P13637,AT1A3_HUMAN,ATP1A3,128235
P98194,AT2C1_HUMAN,ATP2C1,169600
Q9H3J6,CL065_HUMAN,C12orf65,613559
O43307,ARHG9_HUMAN,ARHGEF9,300607
Q86X52,CHSS1_HUMAN,CHSY1,605282
P51690,ARSE_HUMAN,ARSE,302950
Q96QS3,ARX_HUMAN,ARX,300004
Q13510,ASAH1_HUMAN,ASAH1,159950
P00966,ASSY_HUMAN,ASS1,215700
P05023,AT1A1_HUMAN,ATP1A1,618036
Q9NQ11,AT132_HUMAN,ATP13A2,606693
O14983,AT2A1_HUMAN,ATP2A1,601003
Q9UNE7,CHIP_HUMAN,STUB1,615768
Q9H444,CHM4B_HUMAN,CHMP4B,605387
P15289,ARSA_HUMAN,ARSA,250100
Q8NCH0,CHSTE_HUMAN,CHST14,601776
P15848,ARSB_HUMAN,ARSB,253200
P36575,ARRC_HUMAN,ARR3,301010
Q8WXI3,ASB10_HUMAN,ASB10,603383
P05089,ARGI1_HUMAN,ARG1,207800
Q9Y6H1,CHCH2_HUMAN,CHCHD2,616710
Q9H2C2,ARV1_HUMAN,ARV1,617020
Q8N9N2,ASCC1_HUMAN,ASCC1,614266
Q96LT7,CI072_HUMAN,C9orf72,105550
P17405,ASM_HUMAN,SMPD1,257200
P08243,ASNS_HUMAN,ASNS,615574
P20933,ASPG_HUMAN,AGA,208400
Q14839,CHD4_HUMAN,CHD4,617159
Q9HCK8,CHD8_HUMAN,CHD8,615032
Q5SW96,ARH_HUMAN,LDLRAP1,603813
Q96C12,ARMC5_HUMAN,ARMC5,615954
P0C7Q2,ARMS2_HUMAN,ARMS2,613778
O96017,CHK2_HUMAN,CHEK2,114480
P06276,CHLE_HUMAN,BCHE,617936
O15013,ARHGA_HUMAN,ARHGEF10,608236
P04424,ARLY_HUMAN,ASL,207900
Q7LGC8,CHST3_HUMAN,CHST3,143095
Q96PC3,AP1S3_HUMAN,AP1S3,616106
Q92481,AP2B_HUMAN,TFAP2B,169100
Q9BYT9,ANO3_HUMAN,ANO3,615034
O00203,AP3B1_HUMAN,AP3B1,203300
P58335,ANTR2_HUMAN,ANTXR2,228600
Q8J025,APCD1_HUMAN,APCDD1,605389
P21397,AOFA_HUMAN,MAOA,300615
P15882,CHIN_HUMAN,CHN1,604356
O14497,ARI1A_HUMAN,ARID1A,614607
Q7Z3E5,ARMC9_HUMAN,ARMC9,617622
Q9NX46,ARHL2_HUMAN,ADPRHL2,618170
Q9H0F7,ARL6_HUMAN,ARL6,600151
Q6ZSZ5,ARHGI_HUMAN,ARHGEF18,617433
Q9HBZ2,ARNT2_HUMAN,ARNT2,615926
O60826,CCD22_HUMAN,CCDC22,300963
Q9NPF0,CD320_HUMAN,CD320,613646
P16671,CD36_HUMAN,CD36,248310
Q8IWY9,CDAN1_HUMAN,CDAN1,224120
Q9UPV0,CE164_HUMAN,CEP164,614845
P36222,CH3L1_HUMAN,CHI3L1,181500
Q14781,CBX2_HUMAN,CBX2,613080
P11802,CDK4_HUMAN,CDK4,609048
P01732,CD8A_HUMAN,CD8A,608957
P60953,CDC42_HUMAN,CDC42,616737
Q5VV42,CDKAL_HUMAN,CDKAL1,125853
Q15517,CDSN_HUMAN,CDSN,146520
P13569,CFTR_HUMAN,CFTR,219700
P0CG37,CFC1_HUMAN,CFC1,605376
P09693,CD3G_HUMAN,CD3G,615607
P17661,DESM_HUMAN,DES,181400
Q9BWT1,CDCA7_HUMAN,CDCA7,616910
Q14004,CDK13_HUMAN,CDK13,617360
Q00535,CDK5_HUMAN,CDK5,616342
Q9BYV8,CEP41_HUMAN,CEP41,614464
O60879,DIAP2_HUMAN,DIAPH2,300511
Q9Y592,CEP83_HUMAN,CEP83,615862
P27544,CERS1_HUMAN,CERS1,616230
P00746,CFAD_HUMAN,CFD,613912
Q96EU7,C1GLC_HUMAN,C1GALT1C1,300622
P19099,C11B2_HUMAN,CYP11B2,103900
P09871,C1S_HUMAN,C1S,613783
P11586,C1TC_HUMAN,MTHFD1,114500
P22223,CADH3_HUMAN,CDH3,225280
P22748,CAH4_HUMAN,CA4,600852
P07384,CAN1_HUMAN,CAPN1,616907
P56539,CAV3_HUMAN,CAV3,123320
Q8IW40,CC103_HUMAN,CCDC103,614679
P29965,CD40L_HUMAN,CD40LG,308230
Q15131,CDK10_HUMAN,CDK10,617694
Q16667,CDKN3_HUMAN,CDKN3,114550
P49454,CENPF_HUMAN,CENPF,243605
O43822,CF410_HUMAN,CFAP410,602271
Q8IU89,CERS3_HUMAN,CERS3,615023
Q96M91,CFA53_HUMAN,CFAP53,614779
Q92793,CBP_HUMAN,CREBBP,180849
Q6PII3,CC174_HUMAN,CCDC174,616816
Q6UXH8,CCBE1_HUMAN,CCBE1,235510
P25063,CD24_HUMAN,CD24,126200
Q99741,CDC6_HUMAN,CDC6,613805
P49918,CDN1C_HUMAN,CDKN1C,130650
Q4KMG0,CDON_HUMAN,CDON,614226
P51451,BLK_HUMAN,BLK,613375
P15538,C11B1_HUMAN,CYP11B1,103900
Q07021,C1QBP_HUMAN,C1QBP,617713
P41180,CASR_HUMAN,CASR,145980
Q14790,CASP8_HUMAN,CASP8,211980
P31415,CASQ1_HUMAN,CASQ1,160565
P08185,CBG_HUMAN,SERPINA6,611489
P51681,CCR5_HUMAN,CCR5,609423
P15391,CD19_HUMAN,CD19,613493
P15924,DESP_HUMAN,DSP,605676
P42771,CDN2A_HUMAN,CDKN2A,155601
Q02224,CENPE_HUMAN,CENPE,616051
Q6NZI2,CAVN1_HUMAN,CAVIN1,613327
Q9UNH5,CC14A_HUMAN,CDC14A,608653
A5D8V7,CC151_HUMAN,CCDC151,616037
Q9UFE4,CCD39_HUMAN,CCDC39,613807
P30279,CCND2_HUMAN,CCND2,615938
P22674,CCNO_HUMAN,CCNO,615872
Q6P1N0,C2D1A_HUMAN,CC2D1A,608443
Q08289,CACB2_HUMAN,CACNB2,611876
P00918,CAH2_HUMAN,CA2,259730
O15484,CAN5_HUMAN,CAPN5,193235
Q92851,CASPA_HUMAN,CASP10,603909
O14958,CASQ2_HUMAN,CASQ2,611938
P53634,CATC_HUMAN,CTSC,170650
P57796,CABP4_HUMAN,CABP4,610427
Q96L12,CALR3_HUMAN,CALR3,613875
P43235,CATK_HUMAN,CTSK,265800
Q9UBX1,CATF_HUMAN,CTSF,615362
P22681,CBL_HUMAN,CBL,613563
Q96MI9,CBPC4_HUMAN,AGBL1,615523
P35520,CBS_HUMAN,CBS,236200
Q9H251,CAD23_HUMAN,CDH23,276900
P43155,CACP_HUMAN,CRAT,617917
P35219,CAH8_HUMAN,CA8,613227
P07339,CATD_HUMAN,CTSD,610127
Q8NDL9,CBPC5_HUMAN,AGBL5,617023
P0DP23,CALM1_HUMAN,CALM1,614916
Q96NT0,CC115_HUMAN,CCDC115,616828
Q8IVM0,CCD50_HUMAN,CCDC50,607453
P02746,C1QB_HUMAN,C1QB,613652
Q13936,CAC1C_HUMAN,CACNA1C,601005
Q9NPB3,CABP2_HUMAN,CABP2,614899
Q9HC96,CAN10_HUMAN,CAPN10,601283
Q9H257,CARD9_HUMAN,CARD9,212050
P07858,CATB_HUMAN,CTSB,148370
P15169,CBPN_HUMAN,CPN1,212070
Q8N8U9,BMPER_HUMAN,BMPER,608022
P36894,BMR1A_HUMAN,BMPR1A,174900
Q4AC94,C2CD3_HUMAN,C2CD3,615948
P02747,C1QC_HUMAN,C1QC,613652
Q9BXJ0,C1QT5_HUMAN,C1QTNF5,605670
Q01668,CAC1D_HUMAN,CACNA1D,614896
P12644,BMP4_HUMAN,BMP4,600625
P15056,BRAF_HUMAN,BRAF,114500
Q6PJG6,BRAT1_HUMAN,BRAT1,614498
O43497,CAC1G_HUMAN,CACNA1G,616795
O95180,CAC1H_HUMAN,CACNA1H,611942
O43570,CAH12_HUMAN,CA12,143860
Q8N4T0,CBPA6_HUMAN,CPA6,614417
Q96M63,CC114_HUMAN,CCDC114,615067
Q9BUN5,CC28B_HUMAN,CCDC28B,209900
Q8N1B3,CCNQ_HUMAN,CCNQ,300707
P20807,CAN3_HUMAN,CAPN3,253600
Q6F5E8,CARL2_HUMAN,CARMIL2,618131
Q03135,CAV1_HUMAN,CAV1,606721
P26842,CD27_HUMAN,CD27,615122
P48509,CD151_HUMAN,CD151,179620
P40259,CD79B_HUMAN,CD79B,612692
P25705,ATPA_HUMAN,ATP5F1A,615228
Q9UJS0,CMC2_HUMAN,SLC25A13,603471
P42695,CNDD3_HUMAN,NCAPD3,617984
Q16281,CNGA3_HUMAN,CNGA3,216900
Q9H8M5,CNNM2_HUMAN,CNNM2,613882
Q6P4Q7,CNNM4_HUMAN,CNNM4,217080
Q9BT09,CNPY3_HUMAN,CNPY3,617929
Q9Y2V0,CO041_HUMAN,C15orf41,615631
P06681,CO2_HUMAN,C2,217000
P01024,CO3_HUMAN,C3,611378
P08572,CO4A2_HUMAN,COL4A2,614483
P0C0L5,CO4B_HUMAN,C4B,152700
P05997,CO5A2_HUMAN,COL5A2,130010
P12110,CO6A2_HUMAN,COL6A2,158810
P12111,CO6A3_HUMAN,COL6A3,158810
P13671,CO6_HUMAN,C6,612446
P25067,CO8A2_HUMAN,COL8A2,136800
Q14050,CO9A3_HUMAN,COL9A3,600969
Q03692,COAA1_HUMAN,COL10A1,156500
P13942,COBA2_HUMAN,COL11A2,184840
Q8TE56,ATS17_HUMAN,ADAMTS17,613195
Q9H324,ATS10_HUMAN,ADAMTS10,277600
O95450,ATS2_HUMAN,ADAMTS2,225410
P54253,ATX1_HUMAN,ATXN1,164400
Q99700,ATX2_HUMAN,ATXN2,183090
O75061,AUXI_HUMAN,DNAJC6,615528
P61769,B2MG_HUMAN,B2M,105200
Q8WTW3,COG1_HUMAN,COG1,611209
Q14746,COG2_HUMAN,COG2,617395
Q9UP83,COG5_HUMAN,COG5,613612
P02730,B3AT_HUMAN,SLC4A1,109270
Q9UMD9,COHA1_HUMAN,COL17A1,122400
Q8NCR0,B3GL2_HUMAN,B3GALNT2,615181
Q14032,BAAT_HUMAN,BAAT,607748
Q15582,BGH3_HUMAN,TGFBI,121820
P08236,BGLR_HUMAN,GUSB,253220
Q8WZ55,BSND_HUMAN,BSND,602522
Q8TD16,BICD2_HUMAN,BICD2,615290
P54132,BLM_HUMAN,BLM,210900
Q53S33,BOLA3_HUMAN,BOLA3,614299
O95972,BMP15_HUMAN,BMP15,300510
P12643,BMP2_HUMAN,BMP2,112600
Q13873,BMPR2_HUMAN,BMPR2,178600
P55201,BRPF1_HUMAN,BRPF1,617333
Q6RI45,BRWD3_HUMAN,BRWD3,300659
Q58F21,BRDT_HUMAN,BRDT,617644
Q9UBR1,BUP1_HUMAN,UPB1,613161
Q9Y5P4,C43BP_HUMAN,COL4A3BP,616351
Q9UIR0,BTNL2_HUMAN,BTNL2,612387
P33076,C2TA_HUMAN,CIITA,209920
Q9Y6D5,BIG2_HUMAN,ARFGEF2,608097
P50747,BPL1_HUMAN,HLCS,253270
O00238,BMR1B_HUMAN,BMPR1B,112600
Q96G97,BSCL2_HUMAN,BSCL2,269700
Q9H694,BICC1_HUMAN,BICC1,601331
Q14692,BMS1_HUMAN,BMS1,107600
P13497,BMP1_HUMAN,BMP1,614856
Q9HCJ1,ANKH_HUMAN,ANKH,118600
P50995,ANX11_HUMAN,ANXA11,617839
Q9NW15,ANO10_HUMAN,ANO10,613728
P05549,AP2A_HUMAN,TFAP2A,113620
P03950,ANGI_HUMAN,ANG,611895
P02647,APOA1_HUMAN,APOA1,105200
O43299,AP5Z1_HUMAN,AP5Z1,613647
O14617,AP3D1_HUMAN,AP3D1,617050
Q9Y6B7,AP4B1_HUMAN,AP4B1,614066
P04114,APOB_HUMAN,APOB,107730
Q9Y2Y0,AR2BP_HUMAN,ARL2BP,615434
P53680,AP2S1_HUMAN,AP2S1,600740
P01019,ANGT_HUMAN,AGT,145500
O15143,ARC1B_HUMAN,ARPC1B,617718
Q9P2D1,CHD7_HUMAN,CHD7,214800
O14791,APOL1_HUMAN,APOL1,612551
P07741,APT_HUMAN,APRT,614723
Q8NB49,AT11C_HUMAN,ATP11C,301015
Q76L83,ASXL2_HUMAN,ASXL2,617190
P50993,AT1A2_HUMAN,ATP1A2,104290
P58418,CLRN1_HUMAN,CLRN1,276902
Q15021,CND1_HUMAN,NCAPD2,617983
Q15003,CND2_HUMAN,NCAPH,617985
Q14028,CNGB1_HUMAN,CNGB1,613767
Q8WXI2,CNKR2_HUMAN,CNKSR2,301008
Q12860,CNTN1_HUMAN,CNTN1,612540
P08123,CO1A2_HUMAN,COL1A2,166200
Q02388,CO7A1_HUMAN,COL7A1,131705
P10643,CO7_HUMAN,C7,610102
P07357,CO8A_HUMAN,C8A,613790
P07358,CO8B_HUMAN,C8B,613789
P20849,CO9A1_HUMAN,COL9A1,614134
Q86WW8,COA5_HUMAN,COA5,616500
Q8N5M1,ATPF2_HUMAN,ATPAF2,604273
P46100,ATRX_HUMAN,ATRX,300448
Q8TE60,ATS18_HUMAN,ADAMTS18,615458
Q76LX8,ATS13_HUMAN,ADAMTS13,274150
P17735,ATTY_HUMAN,TAT,276600
Q13057,COASY_HUMAN,COASY,615643
P12107,COBA1_HUMAN,COL11A1,154780
Q13535,ATR_HUMAN,ATR,210600
O15265,ATX7_HUMAN,ATXN7,164500
Q13825,AUHM_HUMAN,AUH,250950
Q13705,AVR2B_HUMAN,ACVR2B,613751
O15169,AXIN1_HUMAN,AXIN1,114550
Q9Y2T1,AXIN2_HUMAN,AXIN2,114500
Q99715,COCA1_HUMAN,COL12A1,616470
Q9H4W6,COE3_HUMAN,EBF3,617330
Q9Y281,COF2_HUMAN,CFL2,610687
P21964,COMT_HUMAN,COMT,103780
O75531,BAF_HUMAN,BANF1,614008
Q8N3I7,BBS5_HUMAN,BBS5,615983
Q8IWZ6,BBS7_HUMAN,BBS7,615984
P11274,BCR_HUMAN,BCR,608232
Q96D53,COQ8B_HUMAN,COQ8B,615573
P10589,COT1_HUMAN,NR2F1,615722
P24468,COT2_HUMAN,NR2F2,615779
O76090,BEST1_HUMAN,BEST1,153700
Q8NFD5,ARI1B_HUMAN,ARID1B,135900
P18846,ATF1_HUMAN,ATF1,612160
Q2KHT3,CL16A_HUMAN,CLEC16A,222100
Q9BXN2,CLC7A_HUMAN,CLEC7A,613108
Q6UY14,ATL4_HUMAN,ADAMTSL4,225100
P51801,CLCKB_HUMAN,CLCNKB,607364
Q6DD88,ATLA3_HUMAN,ATL3,615632
P51788,CLCN2_HUMAN,CLCN2,605635
P51795,CLCN5_HUMAN,CLCN5,300009
P51798,CLCN7_HUMAN,CLCN7,166600
Q13315,ATM_HUMAN,ATM,208900
O95500,CLD14_HUMAN,CLDN14,614035
P54259,ATN1_HUMAN,ATN1,125370
P56381,ATP5E_HUMAN,ATP5F1E,614053
Q9H6B4,CLMP_HUMAN,CLMP,615237
O75746,CMC1_HUMAN,SLC25A12,612949
Q9Y6Y1,CMTA1_HUMAN,CAMTA1,614756
P29973,CNGA1_HUMAN,CNGA1,613756
Q9NQW8,CNGB3_HUMAN,CNGB3,248200
Q02246,CNTN2_HUMAN,CNTN2,615400
P78357,CNTP1_HUMAN,CNTNAP1,616286
Q9UHC6,CNTP2_HUMAN,CNTNAP2,610042
P02452,CO1A1_HUMAN,COL1A1,114000
P02458,CO2A1_HUMAN,COL2A1,108300
P02461,CO3A1_HUMAN,COL3A1,130050
P02462,CO4A1_HUMAN,COL4A1,175780
Q01955,CO4A3_HUMAN,COL4A3,104200
P53420,CO4A4_HUMAN,COL4A4,141200
P29400,CO4A5_HUMAN,COL4A5,301050
Q14031,CO4A6_HUMAN,COL4A6,300914
P0C0L4,CO4A_HUMAN,C4A,120790
P20908,CO5A1_HUMAN,COL5A1,130000
P01031,CO5_HUMAN,C5,609536
P12109,CO6A1_HUMAN,COL6A1,158810
Q14055,CO9A2_HUMAN,COL9A2,600204
P02748,CO9_HUMAN,C9,613825
Q5JTJ3,COA6_HUMAN,COA6,616501
O60315,ZEB2_HUMAN,ZEB2,235730
Q9HC78,ZBT20_HUMAN,ZBTB20,259050
O60481,ZIC3_HUMAN,ZIC3,306955
Q05516,ZBT16_HUMAN,ZBTB16,612447
Q68DK2,ZFY26_HUMAN,ZFYVE26,270700
Q6PML9,ZNT9_HUMAN,SLC30A9,617595
Q9H869,YYAP1_HUMAN,YY1AP1,602531
P37275,ZEB1_HUMAN,ZEB1,609141
O43167,ZBT24_HUMAN,ZBTB24,614069
Q5T4F4,ZFY27_HUMAN,ZFYVE27,610244
Q2M1K9,ZN423_HUMAN,ZNF423,614844
O95409,ZIC2_HUMAN,ZIC2,609637
P60852,ZP1_HUMAN,ZP1,615774
P43403,ZAP70_HUMAN,ZAP70,269840
Q15915,ZIC1_HUMAN,ZIC1,616602
P21754,ZP3_HUMAN,ZP3,617712
Q9Y397,ZDHC9_HUMAN,ZDHHC9,300799
Q9H9D4,ZN408_HUMAN,ZNF408,616468
Q9BRI3,ZNT2_HUMAN,SLC30A2,608118
Q99592,ZBT18_HUMAN,ZBTB18,612337
Q15649,ZNHI3_HUMAN,ZNHIT3,260565
Q9HCJ5,ZSWM6_HUMAN,ZSWIM6,603671
Q9NU63,ZFP57_HUMAN,ZFP57,601410
Q9BYC5,FUT8_HUMAN,FUT8,618005
P38484,INGR2_HUMAN,IFNGR2,614889
P07902,GALT_HUMAN,GALT,230400
P41091,IF2G_HUMAN,EIF2S3,300148
Q9Y2I7,FYV1_HUMAN,PIKFYVE,121850
O95866,G6B_HUMAN,MPIG6B,617441
Q9BUM1,G6PC3_HUMAN,G6PC3,612541
O95479,G6PE_HUMAN,H6PD,604931
Q14353,GAMT_HUMAN,GAMT,612736
Q8WUU5,GATD1_HUMAN,GATAD1,614672
Q9HCG7,GBA2_HUMAN,GBA2,614409
P05155,IC1_HUMAN,SERPING1,106100
O75603,GCM2_HUMAN,GCM2,146200
P20810,ICAL_HUMAN,CAST,616295
Q9UPZ9,ICK_HUMAN,ICK,612651
O43837,IDH3B_HUMAN,IDH3B,612572
O75874,IDHC_HUMAN,IDH1,137800
P48735,IDHP_HUMAN,IDH2,137800
P22304,IDS_HUMAN,IDS,309900
P35475,IDUA_HUMAN,IDUA,607014
Q9HBG6,IF122_HUMAN,IFT122,218330
Q96RY7,IF140_HUMAN,IFT140,266920
Q9UG01,IF172_HUMAN,IFT172,615630
P10070,GLI2_HUMAN,GLI2,610829
P10071,GLI3_HUMAN,GLI3,146510
P15104,GLNA_HUMAN,GLUL,610015
P55316,FOXG1_HUMAN,FOXG1,613454
P01225,FSHB_HUMAN,FSHB,229070
Q96A29,FUCT1_HUMAN,SLC35C1,266265
P35637,FUS_HUMAN,FUS,608030
P28472,GBRB3_HUMAN,GABRB3,137192
Q9NZU0,FLRT3_HUMAN,FLRT3,615271
Q5H8C1,FREM1_HUMAN,FREM1,248450
Q14CM0,FRPD4_HUMAN,FRMPD4,300983
Q14331,FRG1_HUMAN,FRG1,158900
P18507,GBRG2_HUMAN,GABRG2,604233
P16520,GBB3_HUMAN,GNB3,617024
Q9Y2M0,FAN1_HUMAN,FAN1,614817
Q8IYD8,FANCM_HUMAN,FANCM,618086
Q92915,FGF14_HUMAN,FGF14,609307
Q92562,FIG4_HUMAN,FIG4,216340
Q6QHK4,FIGLA_HUMAN,FIGLA,612310
O95714,HERC2_HUMAN,HERC2,227220
Q5D862,FILA2_HUMAN,FLG2,618084
Q8NFF5,FAD1_HUMAN,FLAD1,255100
Q12805,FBLN3_HUMAN,EFEMP1,126600
P31371,FGF9_HUMAN,FGF9,612961
Q96C11,FGGY_HUMAN,FGGY,105400
P15328,FOLR1_HUMAN,FOLR1,613068
Q12946,FOXF1_HUMAN,FOXF1,265380
Q12948,FOXC1_HUMAN,FOXC1,601631
Q9ULV1,FZD4_HUMAN,FZD4,133780
Q96CU9,FXRD1_HUMAN,FOXRED1,252010
P62873,GBB1_HUMAN,GNB1,616973
P15260,INGR1_HUMAN,IFNGR1,209950
Q8IXK2,GLT12_HUMAN,GALNT12,608812
P14672,GLUT4_HUMAN,SLC2A4,125853
P06213,INSR_HUMAN,INSR,125853
P01308,INS_HUMAN,INS,125852
Q9UBX0,HESX1_HUMAN,HESX1,182230
Q86XE5,HOGA1_HUMAN,HOGA1,613616
Q92902,HPS1_HUMAN,HPS1,203300
Q96RW7,HMCN1_HUMAN,HMCN1,603075
P20823,HNF1A_HUMAN,HNF1A,142330
P35914,HMGCL_HUMAN,HMGCL,246450
P32754,HPPD_HUMAN,HPD,140350
Q12988,HSPB3_HUMAN,HSPB3,613376
O43464,HTRA2_HUMAN,HTRA2,168600
O15347,HMGB3_HUMAN,HMGB3,300915
A2PYH4,HFM1_HUMAN,HFM1,615724
Q6NVY1,HIBCH_HUMAN,HIBCH,250620
Q00839,HNRPU_HUMAN,HNRNPU,617391
P56524,HDAC4_HUMAN,HDAC4,600430
Q9P2P5,HECW2_HUMAN,HECW2,617268
P49773,HINT1_HUMAN,HINT1,137200
Q93099,HGD_HUMAN,HGD,203500
P84074,HPCA_HUMAN,HPCA,224500
Q99714,HCD2_HUMAN,HSD17B10,300438
P14210,HGF_HUMAN,HGF,608265
P35680,HNF1B_HUMAN,HNF1B,125853
P07686,HEXB_HUMAN,HEXB,268800
Q9BYM8,HOIL1_HUMAN,RBCK1,615895
P01133,EGF_HUMAN,EGF,611718
Q9NR50,EI2BG_HUMAN,EIF2B3,603896
P55084,ECHB_HUMAN,HADHB,609015
P30793,GCH1_HUMAN,GCH1,128230
P98172,EFNB1_HUMAN,EFNB1,304110
P00533,EGFR_HUMAN,EGFR,211980
Q9GZT9,EGLN1_HUMAN,EGLN1,609820
P17813,EGLN_HUMAN,ENG,187300
Q14232,EI2BA_HUMAN,EIF2B1,603896
Q09013,DMPK_HUMAN,DMPK,160900
P15976,GATA1_HUMAN,GATA1,300367
P23769,GATA2_HUMAN,GATA2,614038
P23771,GATA3_HUMAN,GATA3,146255
P43694,GATA4_HUMAN,GATA4,187500
Q9BWX5,GATA5_HUMAN,GATA5,617912
Q92908,GATA6_HUMAN,GATA6,187500
P37058,DHB3_HUMAN,HSD17B3,264300
Q9UPY3,DICER_HUMAN,DICER1,138800
P55265,DSRAD_HUMAN,ADAR,127400
Q96EV8,DTBP1_HUMAN,DTNBP1,614076
Q92997,DVL3_HUMAN,DVL3,616894
P30084,ECHM_HUMAN,ECHS1,616277
O43826,G6PT1_HUMAN,SLC37A4,232220
Q13480,GAB1_HUMAN,GAB1,605428
O75899,GABR2_HUMAN,GABBR2,617903
P80404,GABT_HUMAN,ABAT,613163
P42892,ECE1_HUMAN,ECE1,613870
P14138,EDN3_HUMAN,EDN3,209880
P23434,GCSH_HUMAN,GCSH,605899
P43897,EFTS_HUMAN,TSFM,610505
P09417,DHPR_HUMAN,QDPR,261630
Q16610,ECM1_HUMAN,ECM1,247100
Q7Z2Z2,EFL1_HUMAN,EFL1,617941
P04150,GCR_HUMAN,NR3C1,615962
Q8N465,D2HDH_HUMAN,D2HGDH,600721
Q9P219,DAPLE_HUMAN,CCDC88C,236600
Q9UNE0,EDAR_HUMAN,EDAR,129490
Q92838,EDA_HUMAN,EDA,305100
Q96F86,EDC3_HUMAN,EDC3,616460
P01040,CYTA_HUMAN,CSTA,607936
Q9NQC7,CYLD_HUMAN,CYLD,132700
P98174,FGD1_HUMAN,FGD1,305400
O75072,FKTN_HUMAN,FKTN,253800
Q8WW38,FOG2_HUMAN,ZFPM2,187500
O15353,FOXN1_HUMAN,FOXN1,601705
Q9BZS1,FOXP3_HUMAN,FOXP3,304790
P54868,HMCS2_HUMAN,HMGCS2,605911
P23945,FSHR_HUMAN,FSHR,233300
Q99958,FOXC2_HUMAN,FOXC2,153400
Q9H334,FOXP1_HUMAN,FOXP1,613670
Q86XX4,FRAS1_HUMAN,FRAS1,219000
Q14697,GANAB_HUMAN,GANAB,600666
P04792,HSPB1_HUMAN,HSPB1,606595
P22607,FGFR3_HUMAN,FGFR3,100800
P02765,FETUA_HUMAN,AHSG,203650
Q9GZV9,FGF23_HUMAN,FGF23,193100
P20930,FILA_HUMAN,FLG,146700
Q96AY3,FKB10_HUMAN,FKBP10,259450
P02751,FINC_HUMAN,FN1,184255
O95954,FTCD_HUMAN,FTCD,229100
A0PJY2,FEZF1_HUMAN,FEZF1,616030
P22455,FGFR4_HUMAN,FGFR4,176807
P02675,FIBB_HUMAN,FGB,202400
P81172,HEPC_HUMAN,HAMP,613313
P21802,FGFR2_HUMAN,FGFR2,101200
Q8NFG4,FLCN_HUMAN,FLCN,135150
Q13461,FOXE3_HUMAN,FOXE3,610256
P58012,FOXL2_HUMAN,FOXL2,110100
O00358,FOXE1_HUMAN,FOXE1,241850
Q6ZUT3,FRMD7_HUMAN,FRMD7,310700
Q9H2C0,GAN_HUMAN,GAN,256850
P02792,FRIL_HUMAN,FTL,600886
Q9P2Q2,FRM4A_HUMAN,FRMD4A,616819
Q68CZ1,FTM_HUMAN,RPGRIP1L,216360
O60353,FZD6_HUMAN,FZD6,614157
P11413,G6PD_HUMAN,G6PD,300908
P35575,G6PC_HUMAN,G6PC,232200
Q9BX63,FANCJ_HUMAN,BRIP1,114480
Q9NYQ8,FAT2_HUMAN,FAT2,617769
P31994,FCG2B_HUMAN,FCGR2B,152700
P08637,FCG3A_HUMAN,FCGR3A,615707
P55075,FGF8_HUMAN,FGF8,612702
Q02985,FHR3_HUMAN,CFHR3,235400
Q9H9S5,FKRP_HUMAN,FKRP,606612
